,id,title,description,availability,condition,price,link,image_link,brand,custom_label_0,currency,custom_label_1
39,128068663,mini cross-stitch kit,A Nightmare Before Christmas mini cross-stitch kit for your crafty friend who would love nothing more than to *live like Jack and Sally*.,in stock,new,7.07 USD,https://www.buzzfeed.com/hbraga/best-gifts-2021?origin=sfp#128068663,https://img.buzzfeed.com/buzzfeed-static/static/2020-11/8/22/asset/5c1ed7daf952/sub-buzz-10545-1604872969-15.jpg,Amazon,hbraga/best-gifts-2021,USD,"cleaning,fast fashion"
40,128129843,Otherland's Alpine Crystal candle,Otherland's Alpine Crystal candle from their latest Adorned collection — also known as the perfect gift for anyone who wants their home to smell like a refreshing forest.,in stock,new,36.0 USD,https://www.buzzfeed.com/hbraga/best-gifts-2021?origin=sfp#128129843,https://img.buzzfeed.com/buzzfeed-static/static/2021-11/9/16/asset/58b92f179ceb/sub-buzz-4756-1636476101-1.jpg?resize=625:458,otherland,hbraga/best-gifts-2021,USD,cleaning
41,128068664,thick knit socks,"Six pairs of thick knit socks, because, I promise you, you can never go wrong with gifting these bad boys.",in stock,new,9.99 USD,https://www.buzzfeed.com/hbraga/best-gifts-2021?origin=sfp#128068664,https://img.buzzfeed.com/buzzfeed-static/static/2021-11/1/16/asset/bd560ef93b1c/sub-buzz-13359-1635783243-24.jpg?resize=625:833,Amazon,hbraga/best-gifts-2021,USD,"cleaning,fast fashion"
45,128068667,curtain of twinkle lights,A curtain of twinkle lights that'll make them feel like they've headed for the second star on the right and landed in Neverland.,in stock,new,19.99 USD,https://www.buzzfeed.com/hbraga/best-gifts-2021?origin=sfp#128068667,https://img.buzzfeed.com/buzzfeed-static/static/2019-12/3/22/asset/b56977113776/sub-buzz-301-1575413419-8.png,Amazon,hbraga/best-gifts-2021,USD,"cleaning,fast fashion"
46,128068668,Trader Joe's Everything but the Bagel Seasoning,Trader Joe's Everything but the Bagel Seasoning they'll want to sprinkle on everything — and they should because it's really freakin' delicious.,in stock,new,4.99 USD,https://www.buzzfeed.com/hbraga/best-gifts-2021?origin=sfp#128068668,https://img.buzzfeed.com/buzzfeed-static/static/2020-03/12/19/asset/66804671e2f0/sub-buzz-2586-1584042517-22.jpg?resize=625:*,Amazon,hbraga/best-gifts-2021,USD,"cleaning,fast fashion"
47,128074889,Ultimate Beard Care Kit,"An Ultimate Beard Care Kit from Gillette that'll hopefully keep your partner's prickly facial hair at bay when they lean in for a holiday kiss under the mistletoe. A gift for both of you, honestly.",in stock,new,77.0 USD,https://www.buzzfeed.com/hbraga/best-gifts-2021?origin=sfp#128074889,https://img.buzzfeed.com/buzzfeed-static/static/2021-11/1/19/asset/814813680f78/sub-buzz-458-1635795346-14.jpg?resize=625:625,gillette,hbraga/best-gifts-2021,USD,cleaning
48,128068671,infographic print,An infographic print that'll identify and describe herbs and spices and help any budding chef embrace more flavors.,in stock,new,8.49 USD,https://www.buzzfeed.com/hbraga/best-gifts-2021?origin=sfp#128068671,https://img.buzzfeed.com/buzzfeed-static/static/2018-03/30/16/asset/buzzfeed-prod-web-03/sub-buzz-31210-1522443083-6.jpg?resize=625:938,Amazon,hbraga/best-gifts-2021,USD,cleaning
49,128068674,velvety pajama set,A velvety pajama set to make them feel as glamorous as Audrey Hepburn even when they're about to go to sleep.,in stock,new,19.99 USD,https://www.buzzfeed.com/hbraga/best-gifts-2021?origin=sfp#128068674,https://img.buzzfeed.com/buzzfeed-static/static/2020-11/9/1/asset/f3f50a5fc486/sub-buzz-10694-1604884607-12.jpg?resize=625:834,Amazon,hbraga/best-gifts-2021,USD,"cleaning,fast fashion"
50,128068680,portable pack of soap sheets,A smart portable pack of soap sheets so your loved one will never find themselves stuck in a public bathroom that *just* ran out of soap (especially during times like these!).,in stock,new,5.99 USD,https://www.buzzfeed.com/hbraga/best-gifts-2021?origin=sfp#128068680,https://img.buzzfeed.com/buzzfeed-static/static/2020-10/31/17/asset/1ce083e9d412/sub-buzz-1328-1604167035-1.jpg?resize=625:623,Amazon,hbraga/best-gifts-2021,USD,cleaning
51,128075965,faux-leather belt,A chic faux-leather belt to act as the finishing touch on every outfit that just seems to be missing *something*.,in stock,new,14.99 USD,https://www.buzzfeed.com/hbraga/best-gifts-2021?origin=sfp#128075965,https://img.buzzfeed.com/buzzfeed-static/static/2019-10/17/18/asset/f53a454eb77a/sub-buzz-1186-1571337648-3.png?resize=625:862,Amazon,hbraga/best-gifts-2021,USD,"cleaning,fast fashion"
52,128075964,Barefoot Dreams blanket,A Barefoot Dreams blanket will actually live up to all the hype you've likely heard about it — it really does feel like curling up inside a cloud.,in stock,new,59.97 USD,https://www.buzzfeed.com/hbraga/best-gifts-2021?origin=sfp#128075964,https://img.buzzfeed.com/buzzfeed-static/static/2021-10/27/19/asset/424b2e31a028/sub-buzz-482-1635361438-19.jpg?resize=625:*,"Nordstrom,nordstromrack",hbraga/best-gifts-2021,USD,fast fashion
